id;code;value;type
1;deliberately gadzooks hmph;uh-huh drat;ugh snoop
2;romp;indeed derrick;rotating at very
3;motherly alongside;forward;provided
4;first gah;weekend lined;yuck lest dearly
5;notwithstanding shiny guest;passionate snappy debunk;soupy core waffle
6;decontaminate however;heavily solemnly joint;soon sharply situation
7;at brushfire;that helpfully pfft;bitterly lovingly
8;starry mimosa hm;backbone ouch;mask that
9;courageously oh;commonly nervous;nearly acidly
10;flaky aha tender;harp stock-in-trade before;sedately swamp style
