id;code;title;content;file_id;update_name;number_choice;number_of_digits;time_start;time_end
1;other;deficient widow octet;consequently almost sentence;mysteriously considering;mmm wiseguy;25176;17172;vicious;pout
2;drive heartfelt;clarify than;aw;colorfully;now phooey;27795;19070;moustache;feline sheepishly
3;within;far by;fortress;to although;instead cultivated what;27598;30178;the against;damage worthless jar
4;tinted;plus whoa;since low;tote pace amid;anti;9220;7113;comprehend;qua need
5;before modest blond;by;quietly ref;duh gee;internationalize questioningly;1740;26027;rightfully if force;hemorrhage
6;yippee which;boo upward;difficult father;alongside iris ha;rare towards equatorial;8993;3939;likewise howitzer;brr next
7;factor vivaciously;bondsman;perfectly;glimpse;briefly hmph;32044;19584;down psst;limply
8;idle spook;pfft;glom at arrogantly;squeaky who;palm;25747;3383;establish until;truly phooey
9;alongside speedily a;willfully;whether;chortle gravy pish;skedaddle bare;9415;2891;jovially procure wherever;apud
10;yuck yippee;between gah;squirt understatement;successfully yowza readily;procedure;29102;11884;narrow reassuringly;path batter enormously
