id;file_id;file_name;file_path
1;instead takeover slowly;homestead;enrollment against minus
2;plantation violently;hatch;ah disinherit sharply
3;which eek elide;unselfish even leaflet;wildly
4;but weepy;who;oof oh
5;fishtail fictionalise;regulation a;ew
6;cheerfully hilarious voluntarily;gratefully tricky awful;youthfully
7;astride;geez everlasting;hm fooey searchingly
8;refit honestly waltz;outside;yellowish yahoo naturalize
9;um ack;friction drat kindheartedly;until past
10;eventually rigid;polished separately er;unless
