id;code;article_code;title;content;file_id
1;baboon pigsty regarding;absentmindedly yum for;frog;which dot;oddly unless
2;calmly scoop viciously;hiring via crinoline;instead shrilly;reuse if;uh-huh monk
3;mobilize unconscious trait;who on;calmly kick;zowie stew;of onto
4;restore well after;cheerful meh relieved;difficult;frankly as;geez unimpressively bewitched
5;sinful mutilate;whether swiftly;forward;pupa;good-natured whether surround
6;boohoo magnificent;nervously zowie;gullible during off;pish;adventurous carelessly drat
7;inequality site;next agreeable feisty;seriously;complement;validity
8;ah yearly;plus beginner once;handy before;deep lanky yuck;alongside unethically
9;scornful;feisty plaintive;bunch feline commerce;acceptable chart;than
10;giving;because excluding arrival;whose into;vigilant;apud decide
