id;code;article_group_code;file_id;title_introduce;content_introduce
1;how;briefly pressurize flaky;always squiggly rectify;around;upon now once
2;semiconductor;circa lodge;up alongside;within elegantly masculinise;a seriously
3;cobble;overtake;extract;scrawny muck loud;cohort amuse woot
4;acidic whinny;ash scarily per;roommate limply align;questionably;where lodge
5;silently pliers conscious;squawk anxiously;safely;lustrous;shakily eyeball
6;print forthright;ground;blubber;unruly inquisitively;wildly
7;atom between;whoever by;given canine yet;how;primary meaningfully
8;nor;whether furthermore voluminous;monster aboard vivacious;indeed disastrous;dear married hydrocarbon
9;lurch regarding;whether;sample iconify continuity;contrast yum;overcharge geez ding
10;why chairlift yuck;rigidly meh;hm playful;via circa;almost guide
