id;code;min_price;update_name;update_time;article_code
1;optimisation;2867;eyebrow aggradation aid;2024-09-30T13:30:33;between underneath duh
2;duckling;13735;provided;2024-09-30T04:59:27;longingly con total
3;why;3037;pish pucker pumpkinseed;2024-09-30T05:38:33;hm
4;once;26117;sharply rightfully;2024-09-29T18:19:34;abnormally uselessly near
5;ultimately fiercely given;27769;nearly monthly terribly;2024-09-29T23:28:41;who likewise but
6;yuck;25589;government insubstantial safely;2024-09-30T04:44:39;so
7;wren over;14460;fraction all;2024-09-29T19:09:36;um agitated amidst
8;fawn cavernous;30990;when before;2024-09-29T15:44:32;heartache
9;consequence;6993;incidentally;2024-09-29T14:46:32;unexpectedly however aboard
10;inasmuch incidentally;17683;and;2024-09-29T20:51:28;wisely
