id;code;level_deposits_code;random_result_code;result_date
1;if anthologize;demand yuppify earmark;meaningfully because;2024-09-30T00:46:35
2;blah enthuse force;vainly;why;2024-09-30T08:26:05
3;equally yippee unbearably;hmph duh;wearily;2024-09-30T00:48:06
4;without woof more;likewise shady reassuringly;workforce;2024-09-29T17:48:13
5;within till ack;accidentally infer;apropos;2024-09-29T17:10:45
6;conception worldly;minus warped zowie;cautiously;2024-09-29T22:54:02
7;usually wit;voyage consequently ordinary;conga than because;2024-09-30T06:22:29
8;spiffy bashfully;mmm girdle bin;lest hungrily;2024-09-30T12:43:06
9;accidentally even;above;outstay;2024-09-30T00:31:22
10;nourish yearly tomorrow;submissive unless youthfully;sedately;2024-09-29T23:27:23
