id;code;article_code;level_cup;number_prize;create_time;create_name;update_time;update_name
1;bust jubilantly;stimulus;provided;4061;2024-09-30T02:35:56;per until underperform;2024-09-30T12:33:07;meek exhausted as
2;adventurously upstage;tan application;blah;28047;2024-09-30T06:20:05;elude phooey lest;2024-09-30T03:31:38;softly
3;disembodiment;that left;tab a;19721;2024-09-29T21:27:39;mallard fantastic;2024-09-30T10:27:10;amusing
4;hm;yahoo;offset boohoo prepare;23089;2024-09-29T20:30:21;and brr ew;2024-09-29T19:43:26;qua memorable
5;meh;than;defiantly profile even;20164;2024-09-29T22:15:34;absent alongside;2024-09-30T04:34:29;roadway reluctantly
6;huge embargo about;block ugh thumb;housework;17335;2024-09-29T21:28:16;psst likewise stamp;2024-09-30T12:50:08;amortize
7;pfft belabour;angelic indeed;throughout meh spruce;7287;2024-09-29T15:07:26;yippee boo or;2024-09-30T00:23:15;yuck pavement
8;what filthy ack;double following ick;co-producer perfectly;32446;2024-09-30T04:30:15;intently contend;2024-09-30T05:04:18;thankfully
9;grotesque vice bound;receipt;ferret;26996;2024-09-30T13:53:30;yearningly awkward;2024-09-30T01:45:53;oof fairly
10;runny psst;aw satisfied;soulful deadhead;14293;2024-09-30T13:25:29;yowza notwithstanding;2024-09-29T16:48:32;joyfully even until
