id;random_date;prize_code;result;random_user_play;user_play;random_user_success;user_success
1;2024-09-29T21:09:11;um mapping fringe;er ugh;26650;21224;31226;17573
2;2024-09-30T01:21:21;since glaring until;till left indulge;11674;22410;26804;7252
3;2024-09-29T14:41:07;chuck eek;past grant;1726;31396;31566;16570
4;2024-09-30T14:17:01;aw certainly hence;provided until;25277;13594;26152;8407
5;2024-09-29T21:48:35;boldly following barren;prevail kookily smooch;15280;29053;2780;12953
6;2024-09-30T01:08:29;dreamily;or phew;15142;29448;4531;4969
7;2024-09-29T21:30:08;outlying;absent;22998;4851;3730;29472
8;2024-09-30T05:47:01;bestir;furiously round forenenst;30141;14172;29118;14492
9;2024-09-29T23:10:02;furthermore;perfect or;27596;25148;1092;2513
10;2024-09-30T10:07:14;dependable;nor despite;11047;14384;13394;26622
