id;name;code;status;description;create_time;create_name;update_name;update_time
1;coffin meager determine;oh fond;5001;beneath where;2024-09-30T13:23:54;informal meh really;consequently when;2024-09-29T19:57:29
2;if than round;after partially weakly;26650;before phooey;2024-09-29T18:04:12;phooey under;peaceful;2024-09-29T17:06:41
3;equivalent regionalism if;huzzah luxurious;29627;acidic conk around;2024-09-30T12:54:51;pigeonhole;per into;2024-09-29T21:35:23
4;moose lumberman as;dearly psst;892;afterwards wise;2024-09-29T22:59:32;yet slate;ew figure;2024-09-29T16:53:55
5;insurrection who calmly;zowie tomorrow amid;10699;sympathetically nor;2024-09-29T19:26:46;among card ironclad;which on;2024-09-30T04:50:33
6;hare unfortunately;boo;14761;sometimes square;2024-09-30T09:27:25;towards circa too;without;2024-09-29T18:00:09
7;buzzing idolized who;propitiate component unnecessarily;15981;before;2024-09-29T21:02:27;empower;if;2024-09-30T06:36:44
8;pish psst;lazily;21094;decision now rein;2024-09-30T12:39:38;prize concerning;utter;2024-09-30T13:08:06
9;arrange while though;easily evaporation below;20283;whoa successfully on;2024-09-30T12:03:09;unless;ball dance hmph;2024-09-29T21:27:38
10;ouch what next;hexagon definitive tensely;22867;about boldly;2024-09-30T05:44:33;thoughtfully owlishly knobby;incidentally;2024-09-29T21:13:38
